# Copyright (C) 1991-2016 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus Prime License Agreement,
# the Altera MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Altera and sold by Altera or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 16.0.0 Build 211 04/27/2016 SJ Lite Edition
# File: C:\Users\BAO\Desktop\New folder (2)\Assignment_2\Assignment_2.csv
# Generated on: Mon May 29 13:40:34 2017

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
CLK_50,Input,PIN_AJ16,4,B4_N2,PIN_AJ16,2.5 V,,,,,
SYS_clk,Input,PIN_AA26,5,B5_N2,PIN_AA26,2.5 V,,,,,
SYS_leds[26],Output,PIN_J25,6,B6_N0,PIN_J25,2.5 V,,,,,
SYS_leds[25],Output,PIN_M22,6,B6_N1,PIN_M22,2.5 V,,,,,
SYS_leds[24],Output,PIN_M21,6,B6_N1,PIN_M21,2.5 V,,,,,
SYS_leds[23],Output,PIN_L25,6,B6_N1,PIN_L25,2.5 V,,,,,
SYS_leds[22],Output,PIN_K24,6,B6_N0,PIN_K24,2.5 V,,,,,
SYS_leds[21],Output,PIN_M25,6,B6_N2,PIN_M25,2.5 V,,,,,
SYS_leds[20],Output,PIN_N21,6,B6_N1,PIN_N21,2.5 V,,,,,
SYS_leds[19],Output,PIN_N24,6,B6_N2,PIN_N24,2.5 V,,,,,
SYS_leds[18],Output,PIN_P21,6,B6_N1,PIN_P21,2.5 V,,,,,
SYS_leds[17],Output,PIN_R24,6,B6_N2,PIN_R24,2.5 V,,,,,
SYS_leds[16],Output,PIN_P25,6,B6_N2,PIN_P25,2.5 V,,,,,
SYS_leds[15],Output,PIN_T27,5,B5_N0,PIN_T27,2.5 V,,,,,
SYS_leds[14],Output,PIN_R25,6,B6_N2,PIN_R25,2.5 V,,,,,
SYS_leds[13],Output,PIN_T26,5,B5_N0,PIN_T26,2.5 V,,,,,
SYS_leds[12],Output,PIN_T21,5,B5_N1,PIN_T21,2.5 V,,,,,
SYS_leds[11],Output,PIN_W25,5,B5_N0,PIN_W25,2.5 V,,,,,
SYS_leds[10],Output,PIN_V27,5,B5_N0,PIN_V27,2.5 V,,,,,
SYS_leds[9],Output,PIN_T24,5,B5_N0,PIN_T24,2.5 V,,,,,
